,scenario_1
495,40.27070527290173
496,38.46166486190056
497,36.599027034118414
498,36.46477664043558
499,36.82528591579834
500,37.94879657472688
501,39.97115882266457
502,40.80865556959517
503,39.25483582316853
504,39.14927284332414
505,36.88378049008066
506,35.25420314461402
507,35.24173806607855
508,36.11081699226819
509,37.13975082661298
510,39.14392028771905
511,41.54173277763815
512,43.59323447719074
513,45.05901283678042
514,45.16362360888338
515,45.81215224347231
516,46.11643379393218
517,46.23043474348498
518,45.73389055928188
519,44.81302565837537
520,44.032471937294964
521,44.095354332363804
522,43.69166640087248
523,44.35126084963619
524,45.32008222188915
525,46.77306213419624
526,46.30935429856319
527,44.69984083824379
528,44.05648236386246
529,41.43486674111818
530,38.90532821904362
531,37.66450314761422
532,37.300707033133335
533,37.55394320831819
534,38.93843693859224
535,41.109842922223706
536,42.065907332810404
537,43.871549445328526
538,44.202427757438045
539,44.55771195195328
540,44.64045631693463
541,44.62237922622944
542,44.46222658698328
543,44.08805756879109
544,43.50634269267523
545,43.390926509133834
546,42.78681457840469
547,43.49734373651593
548,44.19607691640488
549,46.184145853173334
550,45.363690673234174
551,43.49749197209986
552,42.85656670039939
553,40.25785440262621
554,38.50713899260307
555,37.262894702809206
556,37.62325801272121
557,39.32628015032457
558,41.171741346281244
559,43.76956087195746
560,45.43466769231204
561,44.40947055847978
562,43.898433745100235
563,43.50614926504156
564,43.5442635500052
565,43.972344068285466
566,43.70738282578279
567,42.55917940332777
568,42.47525264284518
569,42.285291802818705
570,41.18075126127604
571,40.96645099428791
572,41.724031895978754
573,43.123044528132404
574,42.12277473992127
575,40.01026348622162
576,39.75073796685506
577,37.638968244401475
578,36.03164399542919
579,34.96807254363669
580,35.013606748883596
581,35.74391294219616
582,37.99491019251127
583,41.247401719755445
584,43.49053556838331
585,44.05219852435718
586,42.817651183051716
587,42.97744292289502
588,42.96731328590558
589,43.67083898518458
590,43.47068854934847
591,42.491947068374465
592,42.129909439861684
593,42.22452982082751
594,41.07712569459167
595,41.1150444452839
596,41.69669198297114
597,42.60370202007524
598,41.56948469793539
599,40.639757607524174
600,40.032516176808045
601,38.88475367344225
602,37.8927634676799
603,37.88656887798584
604,38.504428886522966
605,39.939756051785906
606,40.99185034560702
607,42.740391593130354
608,44.038456168497014
609,44.78885484550218
610,44.13725163408899
611,44.41216592771594
612,44.9611577713798
613,45.4467982625679
614,45.383907947238356
615,44.95757081611925
616,44.54991295095122
617,44.76357660749235
618,44.41621976883893
619,44.64158592448167
620,44.55374743098588
621,45.53092858723071
622,44.675604265185456
623,43.95562326333011
624,43.41476790266303
625,40.91067497196184
626,38.58063152980149
627,37.2336441012631
628,37.38299553230356
629,38.24619167852009
630,38.72795070618191
631,39.00372410634395
632,40.744835275240376
633,42.66026938780523
634,42.39673867198751
635,42.72837373232117
636,43.15998051630503
637,43.674429417793576
638,43.62320537635921
639,42.66247680132911
640,42.021397436255235
641,41.4512041286237
642,41.03844484282052
643,40.59731149464144
644,40.44892081854097
645,42.66085819201371
646,42.40211646281343
647,40.70704987626518
648,39.28994630712749
649,36.70138992449483
650,34.10229676112698
651,33.03962321435294
652,33.86613511265351
653,34.34090763602482
654,34.84919134682514
655,33.88792734755248
656,33.502046112503045
657,37.14738795122685
658,37.25695187180757
659,37.603701877466435
660,38.141074293121044
661,38.11208349954012
662,38.866538718007895
663,38.70781053817653
664,37.22034073425797
665,36.95386754121541
666,36.117271264628044
667,35.53020703758236
668,36.07876544528622
669,39.15003302965839
670,39.3188633715149
671,38.7854896805642
672,45.46294081182619
673,42.93411652152139
674,40.468843241683345
675,39.702388167065486
676,40.979165107283634
677,42.37792380073582
678,44.64247098960978
679,46.50900640692303
680,46.8555532058846
681,46.37255601599445
682,45.61890368608355
683,45.521244869068575
684,45.369031456984175
685,44.87394584571185
686,44.491292480564404
687,44.16277825965355
688,44.00336451288125
689,44.32866561536899
690,43.83375493667642
691,43.788457223544896
692,44.703094789671525
693,46.61626618745164
694,46.278587570039484
695,44.23770552275663
696,44.554520086196995
697,42.444582264785595
698,41.09611851691592
699,39.85025448324819
700,39.784475736404524
701,39.88327546965807
702,41.328126646172464
703,43.236776466628925
704,44.293536823392586
705,45.271042783683555
706,44.70014646121142
707,43.24999255635905
708,42.56424637425108
709,42.48744807672489
710,42.52331286764346
711,42.093010923365206
712,42.00164842031475
713,43.073824648753416
714,42.43304677263021
715,43.31217433355844
716,43.823807444906066
717,45.30847864572198
718,44.768852281223765
719,43.78244547858256
720,44.92699274067026
721,43.36062807762652
722,41.31174544119847
723,38.658713187737966
724,38.76429385792026
725,39.855105755595396
726,41.66107377773219
727,44.32207695953815
728,45.84204016919797
729,44.9532498787895
730,44.05918580030067
731,44.01319024430416
732,44.05477006274202
733,44.09442446511416
734,43.71131244422879
735,42.90243532247585
736,42.85827063948572
737,44.02608161140079
738,44.64733693242681
739,46.15416230898053
740,47.936372478166305
741,48.74423303595514
742,47.21088383278681
743,44.01086421804791
744,43.18697477860164
745,41.20357245187969
746,41.899168689936715
747,40.98188294190526
748,41.36304189750651
749,42.44582184233497
750,44.63296914148672
751,47.693482654426575
752,49.02787895795371
753,48.27420693715412
754,47.44004945595388
755,47.247989297998814
756,47.20097503010021
757,47.16365916493333
758,46.83112535399008
759,46.39950656019707
760,46.113009025243784
761,46.74866129583888
762,45.83894848613994
763,46.301078746570866
764,47.27319895312962
765,46.88234720870375
766,45.4011087800487
767,43.4783576934585
768,44.28139067582524
769,41.492774456895994
770,39.345737674284145
